Commit SHA,Java File,Old Function Signature,New Function Signature
9b6c3a50934204e272082848614267e57ea57de8,src/jvm/clojure.lang.Compiler.InvokeExpr,"public InvokeExpr(source String, line int, column int, tag Symbol, fexpr Expr, args IPersistentVector)","public InvokeExpr(source String, line int, column int, tag Symbol, fexpr Expr, args IPersistentVector, tailPosition boolean)"
9b6c3a50934204e272082848614267e57ea57de8,src/jvm/clojure.lang.Compiler.InstanceMethodExpr,"public InstanceMethodExpr(source String, line int, column int, tag Symbol, target Expr, methodName String, args IPersistentVector)","public InstanceMethodExpr(source String, line int, column int, tag Symbol, target Expr, methodName String, args IPersistentVector, tailPosition boolean)"
9b6c3a50934204e272082848614267e57ea57de8,src/jvm/clojure.lang.Compiler.StaticMethodExpr,"public StaticMethodExpr(source String, line int, column int, tag Symbol, c Class, methodName String, args IPersistentVector)","public StaticMethodExpr(source String, line int, column int, tag Symbol, c Class, methodName String, args IPersistentVector, tailPosition boolean)"
c8e248d84740dbe1538c6f86ff1ecc59e200d23a,src/jvm/clojure.lang.Compiler.NewInstanceExpr,"package build(interfaceSyms IPersistentVector, fieldSyms IPersistentVector, thisSym Symbol, tagName String, className Symbol, typeTag Symbol, methodForms ISeq, frm Object) : ObjExpr","package build(interfaceSyms IPersistentVector, fieldSyms IPersistentVector, thisSym Symbol, tagName String, className Symbol, typeTag Symbol, methodForms ISeq, frm Object, opts IPersistentMap) : ObjExpr"
1f37a868e7ed154e8d0e0dc9e6de46c10478ac81,src/jvm/clojure.lang.Tuple,public createFromColl(coll Object) : IPersistentVector,"public createFromColl(count int, coll Object) : IPersistentVector"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.CharacterReader,"public invoke(reader Object, backslash Object) : Object","public invoke(reader Object, backslash Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.CommentReader,"public invoke(reader Object, semicolon Object) : Object","public invoke(reader Object, semicolon Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.RegexReader,"public invoke(reader Object, doublequote Object) : Object","public invoke(reader Object, doublequote Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.StringReader,"public invoke(reader Object, doublequote Object) : Object","public invoke(reader Object, doublequote Object, opts Object, pendingForms Object) : Object"
caa3b4fdc8da5880309b317d0045b1280181c452,src/jvm/clojure.lang.LispReader.UnmatchedDelimiterReader,"public invoke(reader Object, rightdelim Object) : Object","public invoke(reader Object, rightdelim Object, opts Object, pendingForms Object) : Object"
