Commit SHA,Java File,Old Function Signature,New Function Signature
eb75886b2be7edf709441962bf3272e4319823c5,src/test/java/junit.tests.runner.ResultTest,"private assertSerializedCorrectly(result Result, fromStream Result) : void","private assertSerializedCorrectly(result Result, fromStream Result, serializationFormat SerializationFormat) : void"
1bf8438b65858565dbb64736bfe13aae9cfc1b5a,src/main/java/org.junit.runners.Parameterized.RunnersFactory,private getParametersMethod() : FrameworkMethod,private getParametersMethod(testClass TestClass) : FrameworkMethod
1bf8438b65858565dbb64736bfe13aae9cfc1b5a,src/main/java/org.junit.runners.Parameterized.RunnersFactory,private parametersMethodReturnedWrongType() : Exception,"private parametersMethodReturnedWrongType(testClass TestClass, parametersMethod FrameworkMethod) : Exception"
682fb5f41adb91be6d58341a80ff78a6ca3b29c8,src/main/java/org.junit.runner.TestDescription,"package TestDescription(builder DescriptionBuilder, methodName String)","package TestDescription(builder DescriptionBuilder, method Method, methodName String)"
1b7fabc7f4303a9ecc1b916a234d2af1ad20e843,src/main/java/org.junit.internal.runners.rules.RunFixtures,public RunFixtures(testFixtures List),"public RunFixtures(testFixtures List, testClass ClassWrapper)"
1b7fabc7f4303a9ecc1b916a234d2af1ad20e843,src/main/java/org.junit.fixtures.InstanceMethod,"public InstanceMethod(method Method, object Object)","public InstanceMethod(javaClass ClassWrapper, method Method, object Object)"
a75370887a71a09b3e5a12dec252513e80228e6b,src/main/java/org.junit.runner.FilterFactoryParams,public FilterFactoryParams(args String),"public FilterFactoryParams(topLevelDescription Description, args String)"
d517352c4b06fee4d5dfddfc69c86514d09eddc3,src/main/java/org.junit.runners.ParentRunner,private runChildren(notifier RunNotifier) : void,"private runChildren(notifier RunNotifier, filteredChildren Collection) : void"
48af7e797dbefa1fc47e80394c7f74ef87c3c7ab,src/test/java/org.junit.tests.running.classes.ParentRunnerTest,"private assertClassHasFailureMessage(klass Class, message String) : void","private assertClassHasFailureMessage(klass Class, failureCount int, message String) : void"
83a25d440d118b7d10779a884d35f31045949e27,src/main/java/org.junit.runners.ParentRunner,private comparator() : Comparator,private comparator(sorter Sorter) : Comparator
83a25d440d118b7d10779a884d35f31045949e27,src/main/java/org.junit.runners.ParentRunner,private sortChild(child T) : void,"private sortChild(child T, sorter Sorter) : void"
5820172f30e56e9b0bc8feca6d7b3be58b7ee0ee,src/main/java/org.junit.runner.FilterFactoryFactory,public createFilterFromFilterSpec(filterSpec String) : Filter,"public createFilterFromFilterSpec(description Description, filterSpec String) : Filter"
34336085d5aba69c997f8e6b244531561afebcd4,src/test/java/org.junit.runner.JUnitCommandLineParserTest.FilterFactoryStub,public createFilter() : Filter,public createFilter(params FilterFactoryParams) : Filter
cc8497f28e1d5a46d7940a0b36556154c83d6f7a,src/main/java/org.junit.experimental.theories.internal.AllMembersSupplier,"private addArrayValues(name String, list List, array Object) : void","private addArrayValues(sig ParameterSignature, name String, list List, array Object) : void"
c4e3854ae71d7dd8b624a977712bee3e29d5bcdd,src/test/java/org.junit.tests.experimental.rules.TimeWatcherTest.AbstractTimeWatcherTest,private logInfo() : void,"private logInfo(name String, status String, nanos long) : void"
8134371705a43fa2b2a8913678d4336d867f6647,src/main/java/org.junit.runner.Description,"private Description(displayName String, uniqueId Serializable, annotations Annotation[])","private Description(displayName String, clazz Class, uniqueId Serializable, annotations Annotation[])"
8134371705a43fa2b2a8913678d4336d867f6647,src/main/java/org.junit.runner.Description,"private Description(displayName String, annotations Annotation[])","private Description(displayName String, clazz Class, annotations Annotation[])"
48aabe1b16bd288f74ac4ff92e3a38792533be39,src/main/java/org.junit.experimental.theories.internal.AllMembersSupplier,private addMultiPointMethods(list List) : void,"private addMultiPointMethods(sig ParameterSignature, list List) : void"
e0cddcdfa8ec823da136af500cce0910a1dd2264,src/main/java/org.junit.runners.Parameterized,private createRunnersForParameters(allParameters Iterable) : void,"private createRunnersForParameters(allParameters Iterable, namePattern String) : void"
faba199e389e3c977fc5573315790a5cde5f7611,src/main/java/org.junit.runners.BlockJUnit4ClassRunner,"private withMethodRules(method FrameworkMethod, target Object, result Statement) : Statement","private withMethodRules(method FrameworkMethod, testRules List, target Object, result Statement) : Statement"
5eee07b3e21f196b8cb937fb88eb8cf4be694f76,src/main/java/org.junit.runners.ParentRunner,private shouldRun(each T) : boolean,"private shouldRun(filter Filter, each T) : boolean"
7cd277620b4c888ae4101bb3f4768af83b85313a,src/main/java/org.junit.runners.ParentRunner,private comparator() : Comparator,private comparator(sorter Sorter) : Comparator
7a2b0460c7abd7573faa9d7845a5b1169dcdcb7f,src/main/java/org.junit.runners.ParentRunner,private comparator() : Comparator,private comparator(sorter Sorter) : Comparator
54917b88aab026dabb4541276ed875117c1e1faa,src/main/java/org.junit.experimental.results.PrintableResult,public PrintableResult(type Class),"public PrintableResult(type Class, computer Computer)"
734ab5187c068599352e5fdc7374c1334d484fef,src/main/java/org.junit.experimental.interceptor.ExpectedException,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
734ab5187c068599352e5fdc7374c1334d484fef,src/main/java/org.junit.experimental.interceptor.ExternalResource,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
734ab5187c068599352e5fdc7374c1334d484fef,src/main/java/org.junit.experimental.interceptor.TestWatchman,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
734ab5187c068599352e5fdc7374c1334d484fef,src/main/java/org.junit.experimental.interceptor.Timeout,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
734ab5187c068599352e5fdc7374c1334d484fef,src/main/java/org.junit.experimental.interceptor.Verifier,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
734ab5187c068599352e5fdc7374c1334d484fef,src/test/java/org.junit.tests.experimental.interceptor.InterceptorTest.MultipleInterceptorTest.Incrementor,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
d8da2f699a89857292e5e5b92945b2fe3c0a039a,src/main/java/org.junit.experimental.max.MaxCore,"private findLeaves(description Description, results List) : void","private findLeaves(parent Description, description Description, results List) : void"
409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d,src/main/java/org.junit.experimental.results.PrintableResult,public PrintableResult(type Class),"public PrintableResult(type Class, computer Computer)"
8e313a1e58a56694c0441b2fa60974fa8e1bfe31,src/main/java/org.junit.experimental.interceptor.ExpectedException,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
8e313a1e58a56694c0441b2fa60974fa8e1bfe31,src/main/java/org.junit.experimental.interceptor.ExternalResource,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
8e313a1e58a56694c0441b2fa60974fa8e1bfe31,src/main/java/org.junit.experimental.interceptor.TestWatchman,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
8e313a1e58a56694c0441b2fa60974fa8e1bfe31,src/main/java/org.junit.experimental.interceptor.Timeout,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
8e313a1e58a56694c0441b2fa60974fa8e1bfe31,src/main/java/org.junit.experimental.interceptor.Verifier,"public intercept(base Statement, method FrameworkMethod) : Statement","public intercept(base Statement, method FrameworkMethod, target Object) : Statement"
